beta,B_index,R_P,equilibrium_class,bifurcation_type,multistable
0.018125000000000002,1.8125,0.6372746843999546,parasitoid_free,stable,False
0.018125000000000002,1.875,0.5345212072759136,parasitoid_free,stable,False
0.018125000000000002,1.9375,0.44521233412771927,parasitoid_free,stable,False
0.018125000000000002,2.0,0.36788434040203566,parasitoid_free,stable,False
0.019583333333333335,0.5,16.068489243738345,coexistence,stable,False
0.019583333333333335,0.5625,14.092128897938485,coexistence,stable,False
0.019583333333333335,0.625,12.352025805064756,coexistence,stable,False
0.019583333333333335,0.6875,10.819716563199668,coexistence,stable,False
0.019583333333333335,0.75,9.470255902647832,coexistence,stable,False
0.019583333333333335,0.8125,8.281771965908662,coexistence,stable,False
0.019583333333333335,0.875,7.235078664629688,coexistence,stable,False
0.019583333333333335,0.9375,6.3133377174527245,coexistence,stable,False
0.019583333333333335,1.0,5.501763932070014,coexistence,stable,False
0.019583333333333335,1.0625,4.787368112026981,coexistence,stable,False
0.019583333333333335,1.125,4.15873281168142,coexistence,stable,False
0.019583333333333335,1.1875,3.6058164922343394,coexistence,stable,False
0.019583333333333335,1.25,3.119782611147349,coexistence,stable,False
0.019583333333333335,1.3125,2.692850330001851,coexistence,stable,False
0.019583333333333335,1.375,2.3181640850454532,coexistence,stable,False
0.019583333333333335,1.4375,1.98967954469804,coexistence,stable,False
0.019583333333333335,1.5,1.7020638792769505,coexistence,stable,False
