draw,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,B_index,R_P,has_coexistence,has_parasitoid_free,score
59,0.038023637696369385,0.0035942103334157317,0.007848054119699771,0.018964511001194118,0.01824478525386177,0.23454513728458287,0.9215989268071416,0.04184830557743137,15.731768146328939,0.5898097322940525,0.6221983471712489,0.07128066081527597,54.421210424514,1.5308054705510097,1.8421973046241953,0.1297337132440811,False,True,11.070266286755919
60,0.010599690075150629,0.005859435148402274,0.008238367771828464,0.011026026392527997,0.0358204784695836,0.14277683206119662,0.9348144579234323,0.05389239572178549,15.931919916088924,0.5970086240259626,0.3437185041757344,0.041099492902502754,60.58428998495151,2.0396525107745465,1.8863831758926701,0.07059006181024488,False,True,11.129409938189756
61,0.015943913145303162,0.0022431822262604763,0.0018200972809430515,0.02622482343102267,0.04358941197711663,0.07071248671609474,0.5734539022805438,0.059694304348777386,13.012957636292413,0.6754720012478213,0.4925626414968577,0.07659848299072866,53.779281917963786,2.4598728385793205,0.9641885640588905,0.019871863400650842,False,False,12.180128136599349
62,0.03434976843293375,0.006921481486273471,0.0021608882822682462,0.006386121244405431,0.021878118011996028,0.20077770362511776,0.8411127769350668,0.04477336895243103,12.449313694549772,0.8296821198621765,0.32651306403529384,0.05844675132854844,60.11745224596482,2.3253250922683124,0.8286693063922833,29.57678119895596,True,False,29.37678119895596
63,0.027336836676054063,0.009914597754812583,0.0009672945544662371,0.016681017227783368,0.022839752816732995,0.091203247209329,0.9300212940224695,0.052428972792997436,12.122044605583746,0.614144635036815,0.5224236092886131,0.07603081950621288,48.97750205460105,1.764764001180091,0.9881907465605572,0.19210247784083628,False,True,11.007897522159164
64,0.03938427494121675,0.0004040015289365717,0.0012278668983093587,0.015535167504441564,0.04839990325713871,0.07775986274883728,0.5953631087806981,0.03150246468734075,9.216433251987471,0.5220990985386208,0.5543659390850186,0.016172263955600216,64.5020078597513,1.6512513270662792,0.942786657228279,0.07266448743775406,False,False,12.127335512562246
65,0.027698757179009027,0.004776885693218641,0.0050273738191924655,0.02283916490495838,0.02710279757143262,0.06530659224021262,0.6493620461369065,0.079374631459313,7.672067991443347,0.8266310965106042,0.391741190135179,0.02988842024062225,45.83042296464039,1.6072631603335434,1.5700113194348475,0.010307054020032536,False,False,12.189692945979967
66,0.03495978360650082,0.0063227515526956615,0.0011790555695964078,0.01246708252677383,0.015804900069243885,0.06516710230268366,0.6858838105654668,0.07362801904066177,10.412634291921343,0.7472932343399666,0.5130863529354935,0.059929951537627674,53.200745029935064,1.6222859500973317,1.9986105121873645,0.08363665949182292,False,True,11.116363340508176
67,0.024030978712122276,0.00841408845579748,0.007500760756444371,0.011954156554417058,0.03196639037466199,0.08890024744962605,0.4908657323445958,0.050233175597090035,11.426346937990939,0.8997637521306107,0.6935435614054042,0.05683491681515195,58.314192655223025,1.7074320963186516,1.6403659460184339,0.15353376564862667,False,True,11.046466234351373
68,0.0375672484028605,0.005124377812340627,0.007125233305223989,0.01656004341363719,0.015793254852056994,0.2252709360438402,0.4412804232749802,0.06215757583061299,6.979004911895549,0.6782716599274787,0.5098629722718037,0.03382844108311405,46.28648026372309,2.136543266207515,1.2350250148873185,0.028705438846883514,False,False,12.171294561153116
69,0.010378147458331651,0.0016930330095896763,0.005059643144982656,0.020769209583251284,0.03954113946609375,0.07184549177617108,0.8785579158191406,0.07812475441670841,8.469493360563124,0.5790055316402591,0.4353102144273802,0.07438755083072801,46.58029562694742,1.9160102579979439,1.0966170524684122,0.01143849922549327,False,False,12.188561500774506
70,0.00907606545526794,0.008441535729857376,0.007986734243246566,0.0034697086130233883,0.008462602332486661,0.14929126915973093,0.8962592879564132,0.03571393069142864,9.128930539801608,0.7889627018675298,0.31977086040427677,0.08397752006264135,64.32994687925688,2.2941025234273473,1.976739869882264,0.1510926810022077,False,True,11.048907318997792
71,0.007470233719819544,0.0015086894988975475,0.0014476275788023242,0.019483320970066276,0.02567900433459667,0.24977114196036776,0.6980376995109423,0.030227527481511828,6.452265716921742,0.7837263476726546,0.49530346368672756,0.06525838669995282,50.74482228015091,1.648492134895395,0.9187032805129527,0.10683441615243149,False,False,12.093165583847568
