sample_id,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,B_index,equilibrium_class,trajectory_class,tail_sd,A_star,F_star,K_star,rho_star,bifurcation_type,R_P,regime_shift,canopy_collapse,max_consecutive_K_below,damage_threshold_exceeded,mean_D_longrun,functional_tipping
58,0.02990899502150161,0.008543560052685636,0.006983232762533884,0.028161748728866953,0.01604258529841463,0.12314902321333569,0.5691978036667413,0.06472936807604045,6.7624066850537305,0.6592070389856446,0.565677800546533,0.08766501217162434,52.029072768403665,1.558307225646588,0.9098575265332224,trivial,trivial,2.220446049250313e-16,1.3226660643288018e-49,1.8883502986260717e-183,1.5583072256465877,0.3546319094709653,stable,0.01949612386994517,1,False,0,False,2.327398392683311e-47,False
59,0.02788989557476824,0.0070943400435543695,0.007768955761456387,0.024541509072433076,0.02308643270144066,0.24986171004947472,0.9158459022654799,0.03627196707182104,10.389577622995322,0.6063849776363419,0.5630845634384494,0.0926462338524033,62.95598495121537,1.6191820652506268,1.9158801449755625,trivial,trivial,1.8281303794889387e-48,7.438501701249178e-49,1.2421675918194427e-132,1.6191820652506268,0.3611561780374708,stable,0.0573912824894281,1,False,0,False,1.0238992386577515e-46,False
60,0.03648366896988787,0.0037424551120984473,0.0041463633480528774,0.01800603806099099,0.04260124851537395,0.23304058135300215,0.7725433976559225,0.030418907253845058,15.352366797591682,0.7844028367199851,0.3740039851999124,0.059373066777864664,59.727220326619836,1.5402276508903507,0.6327896429253815,parasitoid_free,parasitoid_free,8.585143404511043e-10,0.31488607539521135,2.9547851174612884e-44,1.5281345373931121,0.8343575983052577,stable,0.43072181637429896,1,False,0,False,0.13276214711857062,False
61,0.013906481958402158,0.007564178499580061,0.005073471797064926,0.028314700084284296,0.04934930832536821,0.16933706044805458,0.4018999430119801,0.04656842413649255,11.866885814721034,0.5564120316254254,0.4372820156776818,0.060794134277302556,46.63001035268317,2.342724489493216,1.652514878614547,trivial,trivial,8.881784197001252e-16,1.500529543466905e-20,1.8117442729383772e-140,2.3427244894932153,0.6641441235195569,stable,0.049853675925897414,1,False,0,False,4.392402394106379e-20,False
62,0.037629382230679166,0.0009626867336113717,0.00806823627085908,0.008816603806999154,0.0291858649903056,0.07803999695846729,0.9516308839694361,0.06153747977641773,6.1040548453000945,0.7991623811190267,0.4715247527868983,0.036520215965696504,50.61230627630539,2.002995977679187,0.5718953840842282,parasitoid_free,parasitoid_free,1.9532215950359924e-06,0.20544526341780173,1.7511044340733596e-137,1.9959224417466614,0.9108307166609577,fold,0.048747391345138905,1,False,0,False,0.09687120066121123,False
63,0.016193921899213065,0.004608399703333548,0.008976067336135037,0.005581022029127105,0.037571099283643355,0.18586014932632072,0.8283661012201902,0.04481748341161158,6.374112031099373,0.5380073841282411,0.3793581395515426,0.038168335403798694,55.440025111613664,2.148726723787958,1.1502184113045735,trivial,trivial,2.324647583815118e-12,2.5394559908265055e-12,8.44239847593123e-160,2.14872672378783,0.7935103482169903,stable,0.031620268409751656,1,False,0,False,3.811241627119006e-12,False
64,0.010474445179013135,0.0008842415566410099,0.007011501141195824,0.014062625787711728,0.006117488985071836,0.08765531051837763,0.8228299280754163,0.02980446941479662,11.763707317491004,0.736936574236671,0.41139750534371217,0.08208218936296223,56.64204005230869,2.2175142533593544,1.3716295364893067,parasitoid_free,parasitoid_free,2.3249894005262458e-09,0.42289692980666765,2.7264297146610555e-87,2.1922950427306445,0.8489456635534401,stable,0.15548289723640782,1,False,0,False,0.13934695455109108,False
65,0.035388017680190925,0.0034817350785171443,0.009977818551047925,0.023836549036527786,0.02098319490491425,0.11371626765167958,0.5285359245818734,0.07090983169595365,7.600150276451493,0.884635302687639,0.4334595948408888,0.07408608533184147,47.08426358628873,2.2166472514424145,1.1491357091731347,trivial,trivial,1.840224499242974e-11,2.1736490822383773e-11,4.036037000707613e-192,2.2166472514407616,0.8096222014589647,stable,0.015379898913734591,1,False,0,False,2.2323467206534334e-11,False
66,0.03204386416665159,0.000704763519191997,0.0035389378338955926,0.017451407046413243,0.04248682994893241,0.14307983260358798,0.4507464855519799,0.035352949512444144,13.024736483640892,0.733413827402323,0.5913544162793352,0.024528651477270267,61.00443799167628,2.037977339338427,0.7578310020668566,parasitoid_free,parasitoid_free,2.0464786502310873e-05,7.22157583655108e-05,2.1702228904757865e-120,2.0379758696582324,0.9359729603212907,fold,0.06842434706557658,1,False,0,False,3.578663675204184e-05,False
67,0.007687759202580439,0.00864291184166437,0.006339055704673897,0.025931266141998376,0.010263817602375307,0.08166436872532098,0.7928326306593501,0.03952921165821768,6.5743661912894895,0.698490748657644,0.5088590912796647,0.09374913957935517,62.081368790612814,1.7434530846257716,1.4114273373959054,trivial,trivial,6.661338147750939e-16,2.2983070958067993e-64,5.269181946141923e-147,1.743453084625771,0.2573797166141324,stable,0.04373477617314788,1,False,0,False,2.2282672230674607e-61,False
68,0.032793466255134025,0.007547285061097885,0.00619072069404821,0.0249480736742517,0.008551746289910211,0.15749675088958875,0.9780478459066478,0.02380472584053089,11.910892513959915,0.7913076417094993,0.5277938537279129,0.04127962111435048,62.189494370137176,2.3021693610542697,1.6823159481382335,trivial,trivial,4.440892098500626e-16,6.767177528321605e-31,4.080288673328622e-98,2.3021693610542693,0.5367123483629668,stable,0.12009726010988044,1,False,0,False,6.0709767012028855e-30,False
69,0.03886534040897428,0.00974493239496826,0.002168311516062701,0.008274188109427788,0.022830178886673522,0.16156672087435,0.7241518867960315,0.03635584243813935,8.27965987750792,0.7184838274106873,0.35768750949403383,0.042995432922053045,54.66242588968804,2.1207104095167923,1.8367896185346833,parasitoid_free,parasitoid_free,6.727898729305804e-13,0.5385351002852363,1.0747405997540507e-48,2.1020829576619446,0.7976721518727573,stable,0.364554812320466,1,False,0,False,0.20519373901146568,False
70,0.009645884662479318,0.0012113551015526156,0.009111374521828437,0.022229671477088882,0.02698637997275548,0.24665180971873696,0.4291988101743547,0.04836467373405628,14.598494171505271,0.5596352510472651,0.31724656217670444,0.07643411956420283,52.591879939465805,1.666371623839632,1.1349603468585805,trivial,trivial,5.926329532570881e-11,7.399781276658117e-11,8.350332102399654e-172,1.666371623834234,0.8202041283199881,stable,0.0249304555315328,1,False,0,False,8.852430620045917e-11,False
71,0.017398749777830895,0.006500301657451595,0.0097423075599244,0.02857209114464135,0.027751154699710835,0.23969092925803737,0.9867734786312606,0.07802232600437733,7.283652785414529,0.8418986506466523,0.47407055402768716,0.06874827940852181,63.92707889744412,2.356944370855714,1.3522761101050556,trivial,trivial,3.7316803507691665e-64,1.3288086429092665e-64,4.126203428459343e-266,2.356944370855714,0.2559398585767777,stable,0.003233667680967314,1,False,0,False,9.076802800712343e-62,False
72,0.020513535762881806,0.005025239886768986,0.0009491566262395463,0.024081311855242607,0.024347274177880525,0.09499368281503848,0.42470752865488026,0.021218743216035,14.527379877781598,0.672073329367044,0.47790425156028543,0.018757949448122212,59.635881555410215,1.5262005553925486,0.9557629512258952,trivial,trivial,2.220446049250313e-16,2.52376530379212e-18,5.910548444949664e-94,1.5262005553925488,0.6986906069903459,stable,0.13482962504935514,1,False,0,False,7.535385845764412e-18,False
73,0.0201009282111969,0.003653474008170592,0.008303376089179977,0.021313758551858852,0.03324089497805554,0.24823597212699694,0.7136759923204825,0.07609582433951613,7.775505336853951,0.6250840200332475,0.6934162450942287,0.08711262390208976,45.71444739662728,1.9132936546588954,0.6533079557930959,trivial,trivial,8.881784197001252e-16,1.2566266591834015e-17,3.19565150881526e-178,1.9132936546588946,0.7080977575166669,stable,0.02139060795492011,1,False,0,False,3.482357683851746e-17,False
