idx,g_low_density,A_star,F_star,K_star,R_P,mu_S,mu_I,T,R_B,sigma_A,sigma_F,beta,delta,eta,mu_F,c_B,kappa,phi,K0
38,1.0358316803065886,0.1094696852049209,1.294324909755412e-20,1.5556680985985039,0.02917122433880809,0.0077987074576348564,0.0163097589546178,56.96146479994063,6.579784242436409,0.8227133328310099,0.3962857755362095,0.03927064999875753,0.1570329192988822,0.602707757034515,0.053603826231907375,0.020715469032234504,0.036120341023825255,0.02843980569076915,1.5862986731509277
39,0.6664791784342584,1.1326507167251213e-11,-2.5961232038885513e-14,6.729695745438614e-11,,0.017557749200685063,0.028320190430875473,64.1913567710408,12.425411728358409,0.6519065777613803,0.6255558914948103,0.036760232491170886,0.17229314444377003,0.525855158841252,0.03416367185878374,0.02105661200883132,700000000000.0,0.0310747149626106,2.4442811628801007
40,1.1936884078695398,0.3778579687182048,3.722124338639134e-21,1.6201602985964143,0.48782429831102603,0.02495183114041002,0.01369720466310224,49.979428214374664,14.474858642109695,0.821971560066309,0.4145825346880702,0.02703656124404661,0.09362593805388428,0.8196234875205024,0.022065677104538783,0.020490081387842755,0.007607065131856351,0.07883145682674667,1.7076690153496057
41,0.7383740396197295,8.812756635556696e-10,6.279231918827607e-20,1.139255391432513e-12,,0.01117631674460895,0.0369058460199631,47.41477742062138,6.830627392588344,0.5079546278456787,0.3609020626289233,0.028270284404906983,0.16451012945026028,0.5854341466600496,0.0574715028615804,0.02091053124022614,700000000000.0,0.061656134250023004,1.7906255434016831
42,0.9500613533064096,1e-12,1e-12,2.4196788666020055,,0.023015185915983515,0.020047425459619603,45.588904792752444,9.065214602220593,0.811353242725524,0.41199055733396617,0.025706891000073784,0.1597501614442856,0.9962797255637783,0.06503073340718699,0.02146312972608747,31.947048561423415,0.017136739214530065,2.4196788666020055
43,1.375604859482474,0.9791734453604618,-6.955934436833344e-21,2.351374825669789,0.15492139582227146,0.008848506509615429,0.04891627174387963,62.01979644517619,9.884892095144512,0.8738728288602133,0.4086277652345249,0.015148207084679611,0.22561630499015045,0.8704602275373094,0.04722920490586426,0.020457335690895643,0.00348147366001505,0.04382986319529341,2.422846792213414
44,1.1013103096618682,0.26079098584165195,1.0862874404274947e-21,1.9958453307035464,0.243673355489512,0.024753365250127418,0.013195238142679169,48.976048645988,13.88745050697857,0.7416491600944608,0.46364732775494477,0.026500622261007314,0.22621441144014087,0.6743483451287016,0.0330663420033136,0.020403719681214964,0.010951268752086858,0.015572109687104062,2.017485573292214
45,0.45376993776749186,3.91982835079574e-10,-3.225051138674107e-21,1.1088418340151917e-12,,0.01612929017362724,0.012990727742960857,63.776941869087594,8.603054195982072,0.5828233119367405,0.32238805216887634,0.026874441570773365,0.21781851275316955,0.5105385411567518,0.03396959502914463,0.021173736735914345,700000000000.0,0.06272149292251025,1.957831536709432
46,1.3086753699697018,0.6381825770515227,-3.676724058159925e-20,1.7167439126188482,0.5299334311167179,0.01624271861406769,0.03840336534119586,48.69461130182476,13.70654557654493,0.6116943726920796,0.5517209367788043,0.03924657042577107,0.2064887765579026,0.7340497027897706,0.06236699168525289,0.02137051263180346,0.004739583881715062,0.03560430395694941,1.7589401376461846
47,1.0172536653690627,0.07378714127312709,-1.3858160531417419e-22,1.435922943398004,0.05539947580336805,0.012267799547809686,0.036478892546111086,50.052311700642605,8.663083217550504,0.6290844713379068,0.31323613598746564,0.032410697255335304,0.19662558209065417,0.842790459441674,0.041573509022064775,0.020644906166762997,0.04430532334791273,0.08349297950438558,1.5174557321818156
