plane,x,y,code,A_pf,K_pf,maxeig_pf,A_co,F_co,K_co,maxeig_co
beta_B,0.03078947368421053,0.6578947368421053,2,3.4955339098999163,1.6393005085480088,6.178996131717734,1.1547498946138264,0.1967831974988913,1.6737198120345285,0.8018991317914992
beta_B,0.03263157894736842,0.6578947368421053,2,3.4955339098877607,1.6393005085480996,7.5664556533102045,1.0628754638107702,0.19452233799635874,1.6758503717327111,0.8172772035707625
beta_B,0.034473684210526316,0.6578947368421053,2,3.4955339098737275,1.6393005085482097,9.229299990648265,0.9842764577924762,0.1914135703125664,1.6777590140920162,0.8309824126663241
beta_B,0.03631578947368421,0.6578947368421053,2,3.4955339098566243,1.63930050854834,11.216111638787188,0.9163118533140461,0.18777250373661925,1.6794786050022474,0.843269774863565
beta_B,0.038157894736842106,0.6578947368421053,2,3.4955339098366247,1.6393005085484962,13.583137033653877,0.8569890254930149,0.18381404482348607,1.6810358372488299,0.8543456922065221
beta_B,0.04,0.6578947368421053,2,3.49553390994649,1.6393005085475731,16.395373408277067,0.8047783341931586,0.17968552004167118,1.682452613568273,0.8643788540112434
beta_B,0.005,0.7368421052631579,1,3.1064918055229964,1.6442268611011068,0.3297932409161729,3.1064918055230017,-9.134735036543338e-21,1.6442268611011068,0.3297932409161719
beta_B,0.006842105263157895,0.7368421052631579,1,3.1064918055461708,1.644226861101139,0.3297932409139885,3.1064918055461708,-6.796275451965147e-21,1.644226861101139,0.3297932409139885
beta_B,0.00868421052631579,0.7368421052631579,1,3.1064918056479947,1.6442268611012676,0.3297932409042474,3.1064918056479924,2.348362325915386e-21,1.6442268611012676,0.3297932409042478
beta_B,0.010526315789473686,0.7368421052631579,1,3.1064918056415496,1.6442268611012671,0.4175317604022331,3.1064918056415496,-2.763484915614201e-20,1.6442268611012671,0.41753176040223294
beta_B,0.01236842105263158,0.7368421052631579,1,3.1064918055594655,1.6442268611011823,0.5390880992634647,3.106491805559463,-5.862144425176848e-20,1.6442268611011823,0.5390880992634647
beta_B,0.014210526315789476,0.7368421052631579,1,3.106491805528136,1.6442268611011612,0.690228702133923,3.106491805528136,-1.0554707506304265e-19,1.6442268611011612,0.6902287021339227
beta_B,0.01605263157894737,0.7368421052631579,1,3.106491805515532,1.6442268611011646,0.8770627886561846,3.106491805521904,1.6896380870039834e-26,1.644226861101094,0.8770627886573849
beta_B,0.017894736842105265,0.7368421052631579,2,3.1064918055145605,1.644226861101086,1.1067854338692404,2.848272315360987,0.0340759459614414,1.6471602986556049,0.8899432333037166
beta_B,0.01973684210526316,0.7368421052631579,2,3.106491805499541,1.644226861101193,1.3878459233186111,2.38643398184825,0.08892404682057133,1.6529770442508473,0.6404092111103515
beta_B,0.021578947368421055,0.7368421052631579,2,3.106491805494336,1.6442268611012176,1.7301391339983812,2.04643895706663,0.122750456770123,1.657843632629167,0.6770304419975991
beta_B,0.02342105263157895,0.7368421052631579,2,3.1064918054883943,1.6442268611012476,2.1452227495166722,1.7873074384821963,0.14357752181097888,1.6619758795418367,0.7079735266628229
beta_B,0.025263157894736845,0.7368421052631579,2,3.1064918055032504,1.6442268611010742,2.6465634989690763,1.5841124732388931,0.1561352202594026,1.6655283533060015,0.7344282329824182
beta_B,0.02710526315789474,0.7368421052631579,2,3.1064918054765154,1.6442268611013307,3.2498157826735223,1.42098242982444,0.16331317641589563,1.6686149150862861,0.7572805040292167
beta_B,0.028947368421052635,0.7368421052631579,2,3.106491805468894,1.6442268611013848,3.9731365477888048,1.2874077231495118,0.166931175404108,1.6713213930568258,0.777202539049544
beta_B,0.03078947368421053,0.7368421052631579,2,3.1064918054610557,1.6442268611014506,4.837540844490766,1.1761907958605433,0.16816532935819123,1.6737137492954433,0.7947125327426076
beta_B,0.03263157894736842,0.7368421052631579,2,3.1064918054512094,1.6442268611015283,5.8673022751538495,1.0822565712746801,0.16779264506042976,1.6758435278380468,0.8102156086325295
beta_B,0.034473684210526316,0.7368421052631579,2,3.1064918054404878,1.6442268611016209,7.090404324702952,1.0019346452143785,0.1663360591670319,1.6777515944978705,0.8240325322113206
beta_B,0.03631578947368421,0.7368421052631579,2,3.1064918054272948,1.64422686110173,8.539047218637323,0.9325109074284602,0.16415299167426844,1.6794707665330526,0.8364202277402607
beta_B,0.038157894736842106,0.7368421052631579,2,3.1064918054123942,1.6442268611018596,10.25021801749273,0.8719387532148265,0.16149083294835812,1.681027700324753,0.8475866724065303
beta_B,0.04,0.7368421052631579,2,3.106491805394461,1.6442268611020117,12.266329239320086,0.8186479465148478,0.15852252347370774,1.6824442711603316,0.8577018660893592
beta_B,0.005,0.8157894736842105,1,2.7440019853281217,1.6491570018321207,0.3634455565243416,2.7440019853273605,-2.3872955524614976e-21,1.649157001832131,0.3634455565244817
beta_B,0.006842105263157895,0.8157894736842105,1,2.7440019853492545,1.6491570018321164,0.3634455565220681,2.7440019853492545,3.1217028913862665e-21,1.6491570018321164,0.3634455565220681
beta_B,0.00868421052631579,0.8157894736842105,1,2.744001985420994,1.64915700183206,0.3634455565140969,2.7440019854209923,1.545373313156875e-20,1.64915700183206,0.3634455565140972
beta_B,0.010526315789473686,0.8157894736842105,1,2.7440019855398745,1.649157001831968,0.37279092821004406,2.7440019855398745,2.3507399855003358e-20,1.649157001831968,0.3727909282100441
beta_B,0.01236842105263158,0.8157894736842105,1,2.7440019854467215,1.6491570018320536,0.47394605293237924,2.7440019854467215,3.549833502062653e-20,1.6491570018320536,0.47394605293237924
beta_B,0.014210526315789476,0.8157894736842105,1,2.7440019853557094,1.6491570018321435,0.5980224084780383,2.744001985355707,5.0008486102232424e-20,1.6491570018321435,0.5980224084780378
beta_B,0.01605263157894737,0.8157894736842105,1,2.744001985330619,1.6491570018321795,0.7494227084141198,2.744001985330619,1.7614726325992195e-20,1.6491570018321795,0.7494227084141198
beta_B,0.017894736842105265,0.8157894736842105,1,2.744001985323039,1.649157001832125,0.9332769824033113,2.7440019853225137,7.003820457240729e-14,1.6491570018321304,0.933276982402903
beta_B,0.01973684210526316,0.8157894736842105,2,2.7440019853073143,1.6491570018322357,1.1555473090876625,2.4387370234422003,0.03890763541394462,1.6529860480201604,0.8297551800578002
beta_B,0.021578947368421055,0.8157894736842105,2,2.744001985300768,1.649157001832264,1.423145849017494,2.089656305384949,0.07827525996251467,1.6578480265189224,0.6689345086446983
beta_B,0.02342105263157895,0.8157894736842105,2,2.744001985293037,1.6491570018322979,1.7440676853838615,1.8238313853129307,0.10353982994672399,1.6619768274772677,0.700120930670607
beta_B,0.025263157894736845,0.8157894736842105,2,2.7440019853042235,1.6491570018321429,2.1275401803072556,1.6155561362385122,0.11972728989680634,1.6655267288533682,0.7267857731322886
beta_B,0.02710526315789474,0.8157894736842105,2,2.7440019852810353,1.6491570018323776,2.584190554866065,1.4484706776173546,0.12992787941516876,1.6686113693795015,0.7498211825940243
beta_B,0.028947368421052635,0.8157894736842105,2,2.7440019852744495,1.6491570018324275,3.126233867735206,1.3117483963906231,0.1361014490322835,1.6713164118992414,0.7699040121798559
