scenario,year,A_t,F_t,K_t,S0,B_t,D_T,S_T,I_T,F_T,A_next,F_next,K_next,J_year,J_cum,uB,uP_mean,uC_mean,uP_max,uC_max
B (uP + uB),6,0.7346974353978757,0.00042242123817800843,1.688175800772247,4.8798413533459915,1.35,0.33325534172520543,0.9904379591745971,6.856361124511422e-05,0.0005130481042852266,0.7733329088850296,0.00018605700523862407,1.686946170942526,5.716079107725252,30.052022583148688,0.7,0.0,0.0,0.0,0.0
B (uP + uB),7,0.7733329088850296,0.00018605700523862407,1.686946170942526,5.054678574149704,1.35,0.3453694768467912,1.0271639211370205,3.296097735133702e-05,0.00023861453877044978,0.8020085010641407,8.653361374734513e-05,1.6860296785555677,5.898748721775926,35.950771304924615,0.7,0.0,0.0,0.0,0.0
B (uP + uB),8,0.8020085010641407,8.653361374734513e-05,1.6860296785555677,5.180806209294394,1.35,0.3541037974367777,1.0535837003900501,1.6310075419971678e-05,0.00011538531756606942,0.8226370367059618,4.184451020389174e-05,1.6853691942725875,6.03044683779052,41.981218142715136,0.7,0.0,0.0,0.0,0.0
B (uP + uB),9,0.8226370367059618,4.184451020389174e-05,1.6853691942725875,5.26968796439651,1.35,0.36025764915964,1.0721761843138302,8.23463000796335e-06,5.7340126554147705e-05,0.837154028449854,2.0794409213404496e-05,1.6849039989297139,6.123230244069056,48.10444838678419,0.7,0.0,0.0,0.0,0.0
B (uP + uB),10,0.837154028449854,2.0794409213404496e-05,1.6849039989297139,5.331331150303417,1.35,0.3645253030650171,1.0850612029233622,4.215380549677149e-06,2.9037391575801288e-05,0.8472146373249936,1.0530416293149938e-05,1.6845814645564894,6.187561381825819,54.29200976861001,0.7,0.0,0.0,0.0,0.0
B (uP + uB),11,0.8472146373249936,1.0530416293149938e-05,1.6845814645564894,5.373619888544857,1.35,0.36745293196059137,1.0938965592105432,2.178335827823539e-06,1.4895716308563051e-05,0.8541132741505606,5.4019347193895845e-06,1.6843602402981503,6.231683933570409,60.52369370218042,0.7,0.0,0.0,0.0,0.0
B (uP + uB),12,0.8541132741505606,5.4019347193895845e-06,1.6843602402981503,5.402415932073192,1.35,0.3694464300294049,1.0999109804660785,1.1328971389515591e-06,7.708593083507894e-06,0.8588093278929668,2.7955229377931628e-06,1.6842096196178622,6.261739649599499,66.78543335177991,0.7,0.0,0.0,0.0,0.0
B (uP + uB),13,0.8588093278929668,2.7955229377931628e-06,1.6842096196178622,5.4219249476377955,1.35,0.3707969795933441,1.103984716595287,5.917425208125839e-07,4.0129799695279845e-06,0.861990096745421,1.4553080480692492e-06,1.684107585189016,6.282085326434308,73.06751867821423,0.7,0.0,0.0,0.0,0.0
B (uP + uB),14,0.861990096745421,1.4553080480692492e-06,1.684107585189016,5.435096357204967,1.35,0.371708778871343,1.1067345623936657,3.09984302510178e-07,2.0974812073444188e-06,0.8641371734305854,7.6065201045132e-07,1.6840387019727268,6.295829609080135,79.36334828729436,0.7,0.0,0.0,0.0,0.0
B (uP + uB),15,0.8641371734305854,7.6065201045132e-07,1.6840387019727268,5.443967922700581,1.35,0.3723229068807048,1.1085864324141916,1.6270365324883696e-07,1.0992588278082836e-06,0.8655831115800519,3.986464500615814e-07,1.6839923083577366,6.305082790864875,85.66843107815923,0.7,0.0,0.0,0.0,0.0
B (uP + uB),16,0.8655831115800519,3.986464500615814e-07,1.6839923083577366,5.449933656794434,1.35,0.3727358729948286,1.1098315784260628,8.551187544962374e-08,5.77150208382981e-07,0.8665553202665499,2.0930364706091246e-07,1.6839611120122808,6.31131042785691,91.97974150601614,0.7,0.0,0.0,0.0,0.0
B (uP + uB),17,0.8665553202665499,2.0930364706091246e-07,1.6839611120122808,5.4539408851051006,1.35,0.3730132606015375,1.1106678672899832,4.49820467462008e-08,3.033934883033008e-07,0.8672082937252233,1.1002571371207994e-07,1.6839401578823538,6.315491125406898,98.29523263142303,0.7,0.0,0.0,0.0,0.0
B (uP + uB),18,0.8672082937252233,1.1002571371207994e-07,1.6839401578823538,5.456630508353301,1.35,0.3731994382824978,1.1112291317061074,2.367605744808276e-08,1.5961669645924499e-07,0.8676465283865207,5.788502926185507e-08,1.6839260939852685,6.318292787066363,104.6135254184894,0.7,0.0,0.0,0.0,0.0
B (uP + uB),19,0.8676465283865207,5.788502926185507e-08,1.6839260939852685,5.45843480866678,1.35,0.37332433155195366,1.1116056233695741,1.2466719021487467e-08,8.402108264307458e-08,0.8679404926783602,3.047026367099968e-08,1.683916659589997,6.32017382080758,110.93369923929698,0.7,0.0,0.0,0.0,0.0
B (uP + uB),20,0.8679404926783602,3.047026367099968e-08,1.683916659589997,5.459644756406536,1.35,0.37340808288202537,1.1118580813811973,6.566148265860475e-09,4.424434225454233e-08,0.8681376116262877,1.6045220223747938e-08,1.6839103330724985,6.321440973173531,117.25514021247052,0.7,0.0,0.0,0.0,0.0
B (uP + uB),21,0.8681376116262877,1.6045220223747938e-08,1.6839103330724985,5.460455928782191,1.35,0.3734642308365539,1.1120273265473057,3.458969816072454e-09,2.3304197290171175e-08,0.8682697580726237,8.451272153787707e-09,1.6839060917081896,6.322286771979133,123.57742698444966,0.7,0.0,0.0,0.0,0.0
B (uP + uB),22,0.8682697580726237,8.451272153787707e-09,1.6839060917081896,5.460999656845845,1.35,0.37350186644699995,1.1121407673051782,1.8223628057502972e-09,1.2276716573859951e-08,0.8683583324961492,4.452153902952327e-09,1.68390324875513,6.322852985774072,129.90027997022372,0.7,0.0,0.0,0.0,0.0
B (uP + uB),23,0.8683583324961492,4.452153902952327e-09,1.68390324875513,5.461364071095457,1.35,0.37352709019268326,1.1122167947199137,9.60191295878446e-10,6.468124153469814e-09,0.868417694621003,2.3456666138213765e-09,1.683901343383515,6.323230833864109,136.22351080408782,0.7,0.0,0.0,0.0,0.0
B (uP + uB),24,0.868417694621003,2.3456666138213765e-09,1.683901343383515,5.461608284861194,1.35,0.373543993899171,1.1122677436338535,5.059458466897735e-10,3.408055483014464e-09,0.868457475479013,1.2359320530774693e-09,1.6839000664989279,6.323486110377998,142.5469969144658,0.7,0.0,0.0,0.0,0.0
B (uP + uB),25,0.868457475479013,1.2359320530774693e-09,1.6839000664989279,5.461771935310798,1.35,0.37355532121564006,1.112301884453126,2.6660356403533654e-10,1.7957940852039136e-09,0.8684841325945195,6.512451107947614e-10,1.6838992108483242,6.32365818101588,148.87065509548168,0.7,0.0,0.0,0.0,0.0
C (uP + uB + uC),1,0.5,0.1,1.7123548379451874,3.6890894545677906,1.35,0.04442300720222987,0.007752565329148141,2.9084149683320814e-05,0.024954272812643494,0.006053194793046587,0.009049672396502721,1.7089458749564836,4.435911614881696,4.435911614881696,0.7,0.0,0.08953387562537171,0.0,0.19998779296875002
C (uP + uB + uC),2,0.006053194793046587,0.009049672396502721,1.7089458749564836,0.05749886478487572,1.35,0.0016404380381985504,0.002683371702355266,7.867612877626215e-07,0.00195681431938415,0.0020951737814365818,0.00070963913331266,1.712228832057096,0.4180249903378719,4.853936605219568,0.7,0.0,0.02898426689069816,0.0,0.12836539935284355
C (uP + uB + uC),3,0.0020951737814365818,0.00070963913331266,1.712228832057096,0.019947990429544878,1.35,0.0008198565749009645,0.0017407212799665545,3.985438397870328e-08,0.00015283416772035824,0.0013591533306300746,5.542534375758781e-05,1.7122918616822485,0.3206350610710739,5.174571666290642,0.7,0.0,0.016518428295039106,0.0,0.062339906288878366
