idx,R_P,Dmean,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,c_B,kappa
54,0.06793830973097187,57214789062322.36,0.02991710844054814,0.006410293882638765,0.006025419269014163,0.0271923001042234,0.011502435719094579,0.211805815207753,0.43029004017181116,0.039109824806841297,10.84437077979392,0.6957347425422856,0.529933123095229,0.04274337727962302,52.52262682807773,2.136760203327683,0.021116959441586085,700000000000.0
55,0.38592265291141176,0.6789519226706103,0.010894683248642408,0.0063694455288700194,0.009247029197109647,0.007917169734413892,0.021365861674237315,0.17763090117969482,0.9081726194215615,0.02784339139250628,12.463254085879715,0.8658667306458684,0.34979670786177053,0.03990249313093776,62.94775848027693,1.623281378021471,0.021496640424511142,0.002686032010984157
56,0.2228981351733242,0.6926252403650595,0.023082481189901808,0.007148595337545677,0.001907829012124802,0.014367571784917692,0.022450768201754942,0.1532925216316652,0.6648391348961179,0.0405852665086019,14.456102792930588,0.5376387280040674,0.3702996567839284,0.016269613994590176,50.538824498341164,1.5057608110939442,0.020332228322593703,0.005167073801690802
57,0.1467331680960415,31780758076560.133,0.021654873476995934,0.005310411658398068,0.007023609401912556,0.028438433687968712,0.007216606092550369,0.1294879608395541,0.4509806370132168,0.02088748807231145,6.331829968632101,0.5820899791761784,0.4488905824976495,0.09733887426493766,53.53268944253813,1.6713438269141199,0.020594628039261337,700000000000.0
58,0.12246661867639308,0.6717201671921492,0.0061039051125724745,0.00868841147648619,0.00975721735102126,0.0090371746309696,0.012882752342678074,0.06429119614346632,0.5291142179944083,0.023516176362764964,7.352829899018288,0.8495959319076192,0.4680705144130472,0.08450868471992767,59.06261234179581,1.9311344753611723,0.021108365508987863,0.032773451806440326
59,0.01333323085619826,52347364532975.32,0.02362618183076798,0.002728927009719628,0.0071325160236697695,0.015436684278012858,0.017507722394354684,0.08628728011169857,0.5328143574171533,0.06519215879651143,8.189427058768377,0.6657243342134552,0.47095670801650036,0.011927311341678104,54.67692406638305,1.7231600517475327,0.02080521504318129,700000000000.0
60,0.21396492546452986,0.6748517548304711,0.028838441490238426,0.00576673024162633,0.0019494883544253717,0.016746745801994492,0.018155040056016807,0.07911751081119936,0.7176984366852339,0.07057480516502398,12.503241121403303,0.869761036088867,0.5496049244329761,0.07302864404695596,54.548121977640385,2.4930440700053795,0.02048614205711316,0.0031823325930970185
61,0.9759291418138978,0.6865284227422859,0.024146564951609793,0.009101488948415825,0.005742604847814783,0.011629184194890958,0.00845015276734289,0.23504738885038207,0.8578799774366184,0.037453768570700104,11.612745320602796,0.8517650021624479,0.6669558048186378,0.023617964531508058,58.55278921043369,1.524310604276737,0.020813218580300673,0.0044347163848710465
62,0.005775220104089716,58642864511490.766,0.00507960771737895,0.0063619434441275395,0.009588172886470873,0.028131134891530813,0.02387809387534937,0.19803462309502806,0.8427051832765928,0.07276331787168784,10.592434186849598,0.8419107925372056,0.578117920531606,0.09968106399407708,63.303897855431046,2.299949595186435,0.02186870150726044,700000000000.0
63,0.007124950743839823,70718784179393.38,0.038801577781244476,0.006488904624189716,0.0035834876531137543,0.023217277421539357,0.031389437560774856,0.2309720603218695,0.883553380595184,0.06473986102228083,12.827520203803928,0.789708517459521,0.47841152825422284,0.04041693644600243,64.98111910351084,1.7154467918421985,0.020630835113285048,700000000000.0
64,0.021011418310770264,0.6886759675721736,0.016561166301252376,0.001158047659469864,0.0012873964701723437,0.005801984331016941,0.005332721430987499,0.07707044697820445,0.5031247677184645,0.07986990719153161,7.825903169463377,0.6468555673341634,0.658901056028303,0.02602872480964767,54.975357471390204,2.1781262679372606,0.02017555767622229,0.00788967829856365
65,0.09402960275276413,67319722341806.92,0.028189240462494134,0.00497591975461391,0.006728655659817227,0.029602348954799115,0.04655642986917039,0.12607751884864063,0.9663479461464799,0.02704061733755632,13.764639974686263,0.7769720233263826,0.402281013955281,0.05627375146578169,53.75399572477532,1.800206022550692,0.021333844976848752,700000000000.0
66,0.007610831489633196,73088499122978.02,0.02733643391092805,0.00834672773563473,0.00947027563856923,0.02379566811957436,0.04248042084679094,0.13569223563102423,0.9261599590537976,0.0675356901315079,12.667181957163232,0.698778058225532,0.53211364853283,0.05525792586877971,62.88948473554677,2.17207791602159,0.02208452935634692,700000000000.0
67,0.12414481810560817,0.6657958670014111,0.0386338825861897,0.005373887286953193,0.009322022112741982,0.011185488980635105,0.011219723090351269,0.17977699046797907,0.5159438056753566,0.05877916008813666,13.400799931650916,0.5185607983065837,0.6727251241732826,0.0702081912989451,54.656135755906725,1.8110511618935412,0.02180992908227906,0.00799315365271426
68,0.5230747447978085,0.68163989239807,0.030404811114106464,0.008063040939449921,0.0017867481862960909,0.005783414891646464,0.006291896250772723,0.08221516390565806,0.8410263047181314,0.053284228429289635,9.412769748482466,0.825599823675663,0.3776579734652387,0.05343564066027642,58.89646694371695,1.9780453841235148,0.020266138082797404,0.0030787505630998245
69,0.009084175838342517,55731185228061.57,0.01746745105667376,0.004106041476985323,0.004282010899882705,0.028654716746607856,0.04378903336915276,0.23689446565103822,0.7486305146600312,0.0608436935515588,10.130335158149355,0.7925517798100385,0.34784014357859366,0.04516808100200396,59.91104269066491,2.440586168297734,0.02084694598809254,700000000000.0
70,0.05786213923652715,0.675847002155421,0.033916741361354856,0.00046932713396920483,0.0010141132916246882,0.022937244497456204,0.037727814341069824,0.14511028680550833,0.9384784878896113,0.06040053145852162,14.469942275840861,0.5738404713967743,0.3148241022536443,0.0597407572256425,47.18918585936894,2.104193654507764,0.020247018208172724,0.014913949146521353
71,0.08400178822430593,54680642061301.18,0.017733310592550084,0.003245522875595586,0.0032570560296800266,0.026106220333143325,0.032897157151625354,0.1568525491903514,0.6515498796804401,0.03715348256283468,10.564161847036978,0.5489137295364623,0.6485871418338109,0.03295808150237239,55.01390831412637,1.5532859396342682,0.020427564533975717,700000000000.0
72,0.02188957206452969,75023386151109.73,0.024538127972500164,0.0020010369685447794,0.002912016832814649,0.02970598494603152,0.026088374186185617,0.18569827644258435,0.7959435752265649,0.048698290778921224,14.81095856145524,0.7251755063228753,0.4359898857620191,0.03696234724656266,61.431492960034575,1.7950066383256713,0.020619345653281055,700000000000.0
