B_index,beta,R_P,A_star,K_star
0.5625,0.018125000000000002,1.6508662222115313,4.003564141453721,1.6333328322714706
0.5625,0.019583333333333335,2.0167219134863252,4.003564141449666,1.6333328322714866
0.5625,0.021041666666666667,2.4528501578299284,4.003564141445769,1.6333328322715104
0.5625,0.022500000000000003,2.9710416653540377,4.00356414144089,1.633332832271537
0.5625,0.023958333333333335,3.5848298416824873,4.003564141435702,1.6333328322715717
0.5625,0.025416666666666667,4.309719407903654,4.003564141429418,1.6333328322716114
0.5625,0.026875000000000003,5.163442244136455,4.003564141422248,1.6333328322716596
0.5625,0.028333333333333335,6.1662427033237615,4.003564141413947,1.6333328322717162
0.5625,0.029791666666666668,7.341195935846962,4.003564141404154,1.6333328322717824
0.5625,0.03125,8.714562638085798,4.003564141392928,1.6333328322718605
0.5625,0.03270833333333333,10.31618344250173,4.003564141379632,1.6333328322719507
0.5625,0.034166666666666665,12.179918222864927,4.003564141364317,1.6333328322720566
0.5625,0.035625000000000004,14.344133066792933,4.003564141461951,1.6333328322711866
0.5625,0.03708333333333333,16.85224185775344,4.00356414132557,1.6333328322723202
0.5625,0.03854166666666667,19.753306140255486,4.003564141301514,1.633332832272484
0.5625,0.04,23.10269955115741,4.003564141460139,1.6333328322713323
0.625,0.005,0.19885228412650546,3.665886219684542,1.6372455994539483
0.625,0.006458333333333333,0.2551427290784773,3.6658862196978883,1.6372455994540074
0.625,0.007916666666666667,0.3244745970515997,3.665886219762415,1.6372455994542754
0.625,0.009375000000000001,0.40936859009044946,3.6658862197664104,1.6372455994542996
0.625,0.010833333333333334,0.512759280961241,3.6658862196997664,1.6372455994540422
0.625,0.012291666666666666,0.6380537800383762,3.665886219684821,1.6372455994539965
0.625,0.013750000000000002,0.7891977145966688,3.6658862196776605,1.6372455994539836
0.625,0.015208333333333334,0.9707492536537883,3.6658862196789674,1.6372455994539115
0.625,0.016666666666666666,1.187962132036828,3.665886219667543,1.637245599453984
0.625,0.018125000000000002,1.446878599732842,3.6658862196641206,1.6372455994539963
